MOFname,Mof_volume
mof_unit_1,5.9657695075460655e-28
mof_unit_2,1.3819858639004694e-27
mof_unit_3,3.882967631533716e-28
mof_unit_4,7.976623521683655e-28
mof_unit_5,4.7492000465287485e-28
mof_unit_6,1.1446943092998447e-27
mof_unit_7,1.2639542688141435e-27
mof_unit_8,2.623176165082407e-28
mof_unit_9,1.1754447365722528e-27
mof_unit_10,1.1903228447521453e-27
mof_unit_11,5.893095571492503e-28
mof_unit_12,4.788047889365881e-28
mof_unit_13,5.909097302386487e-28
mof_unit_14,4.132370711952935e-28
mof_unit_15,5.136281514779884e-28
mof_unit_16,1.5784852713392674e-27
mof_unit_17,2.7072930497745064e-27
mof_unit_18,8.535170982531245e-28
mof_unit_19,6.099239284976757e-28
mof_unit_20,3.59016135015265e-28
mof_unit_21,4.616982114326165e-28
mof_unit_22,1.1427691383139589e-27
mof_unit_23,1.4646785323014205e-27
mof_unit_24,6.599176542020832e-28
mof_unit_25,5.529071198014897e-28
mof_unit_26,9.125678766975081e-28
mof_unit_27,4.8281609405855105e-28
mof_unit_28,4.652575684099935e-28
mof_unit_29,2.4588497777209203e-27
mof_unit_30,6.01856232193379e-28
mof_unit_31,1.1706082571886723e-27
mof_unit_32,1.060855225234088e-27
mof_unit_33,5.097312876982551e-28
mof_unit_34,7.264692983552788e-28
mof_unit_35,1.2084315317223796e-27
mof_unit_36,8.677896725853225e-28
mof_unit_37,7.079051802008185e-28
mof_unit_38,4.064019893825449e-28
mof_unit_39,1.1482436504182704e-27
mof_unit_40,1.9995863191678887e-27
mof_unit_41,6.897768279410719e-28
mof_unit_42,1.1339818241212977e-27
mof_unit_43,8.739541074389337e-28
mof_unit_44,3.116519889477496e-28
mof_unit_45,8.113057987684364e-28
mof_unit_46,3.4295091265773765e-28
mof_unit_47,4.419592862741411e-28
mof_unit_48,1.1395939646738864e-27
mof_unit_49,1.1443726779483083e-27
mof_unit_50,4.318327933153764e-28
mof_unit_51,7.59308914378027e-28
mof_unit_52,3.470397639841329e-28
mof_unit_53,2.745889105064648e-27
mof_unit_54,5.407478408073617e-28
