,Column1,Column2,Column3,Column4
0,1,4.90801,2.74022,4.85299
1,10,9.51401,7.4395,9.26903
2,100,4.781630000000001,4.3567,4.781630000000001
3,1000,5.18323,3.34745,5.17724
4,10000,7.75016,6.86913,7.75016
5,10001,6.8667,5.7435599999999996,6.8667
6,10002,6.00992,3.71176,6.00992
7,10003,8.96647,7.16728,8.96647
8,10004,5.98653,4.02741,5.3891800000000005
9,10005,9.88187,7.0491,9.88187
10,10006,5.08453,4.02831,5.00084
11,10007,6.7157,6.00298,6.7015199999999995
12,10008,8.0621,6.4798,8.0621
13,10009,7.67278,5.74475,7.67278
14,1001,7.47412,2.9635,7.1490800000000005
15,10010,6.37879,5.4389400000000006,6.37879
16,10011,7.646780000000001,5.86383,7.646780000000001
17,10012,4.71893,3.2433799999999997,4.71893
18,10013,9.74709,8.30918,9.74709
19,10014,11.84539,9.72785,11.84539
20,10015,9.46386,5.7843599999999995,9.361130000000001
21,10016,10.09598,6.631639999999999,10.08338
22,10017,5.4368300000000005,3.3128699999999998,5.4368300000000005
23,10018,5.05333,4.42842,5.01053
24,10019,5.75488,3.6513,5.75488
25,1002,7.37245,2.25611,7.184019999999999
26,10020,9.17918,8.54433,9.17918
27,10021,7.583310000000001,6.37571,7.5717300000000005
28,10022,9.243260000000001,7.24995,9.243260000000001
29,10023,7.67793,5.9932300000000005,7.67501
30,10024,5.93405,4.1438,5.61385
31,10025,11.07944,8.30609,11.01302
32,10026,7.78167,6.052230000000001,7.78167
33,10027,5.038069999999999,2.92845,5.038069999999999
34,10028,12.422,3.9253,11.98569
35,10029,5.05465,3.56395,5.04189
36,1003,9.89458,9.51947,9.89433
37,10030,5.63077,3.60426,5.61078
38,10031,4.79816,3.8467,4.79816
39,10032,4.60383,3.5578300000000005,4.43385
40,10033,8.26445,5.04098,8.06405
41,10034,5.45389,3.83431,5.44335
42,10035,5.2224900000000005,4.07187,5.10133
43,10036,4.87079,3.3962800000000004,4.80081
44,10037,11.22607,10.93539,11.22607
45,10038,11.66332,10.38322,11.60496
46,10039,7.1940100000000005,5.79592,7.1501
47,1004,7.46006,6.1336900000000005,7.46006
48,10040,6.54358,4.70322,6.54358
49,10041,7.44164,5.887630000000001,7.405539999999999
50,10042,4.9974,4.1363199999999996,4.9974
51,10043,7.393960000000001,5.79385,7.2925699999999996
52,10044,7.707560000000001,6.38797,7.707560000000001
53,10045,4.98597,3.5344599999999997,4.94677
54,10046,6.80832,5.44951,6.80832
55,10047,8.49141,6.53757,8.49141
56,10048,10.0061,9.54297,10.00277
57,10049,6.31163,4.826569999999999,6.31163
58,1005,7.0168800000000005,5.66561,6.87706
59,10050,7.33161,5.51471,7.33161
60,10051,5.328930000000001,3.5468599999999997,5.328930000000001
61,10052,7.145639999999999,6.3449599999999995,7.145639999999999
62,10053,9.04618,6.234030000000001,8.7532
63,10054,7.577089999999999,6.39478,7.134930000000001
64,10055,3.77265,3.28455,3.6999
65,10056,7.05642,5.160830000000001,7.0377600000000005
66,10057,7.4360100000000005,4.87415,7.280460000000001
67,10058,8.379539999999999,4.68876,8.1906
68,10059,7.624060000000001,5.2596300000000005,7.624060000000001
69,1006,11.02325,7.94544,11.02325
70,10060,8.04466,5.96177,8.04466
71,10061,5.8798900000000005,3.9490800000000004,5.74875
72,10062,4.660080000000001,2.45014,4.65744
73,10063,14.17588,13.86987,14.17588
74,10064,5.32789,3.8562,5.32789
75,10065,7.80245,4.7129199999999996,7.41
76,10066,8.33075,3.5114099999999997,7.858789999999999
77,10067,6.74132,4.25775,5.9507
78,10068,6.17163,4.59811,6.12677
79,10069,9.23777,7.228839999999999,9.13124
80,1007,4.89881,2.9491099999999997,4.89881
81,10070,4.93898,3.6324099999999997,4.93898
82,10071,5.47962,3.6941800000000002,5.44362
83,10072,7.26875,5.86452,7.26875
84,10073,5.9903900000000005,2.58785,5.9903900000000005
85,10074,4.22457,2.94815,4.22457
86,10075,8.03342,7.45343,8.03342
87,10076,8.45135,6.4661599999999995,8.41797
88,10077,6.88908,5.65031,6.8795
89,10078,6.4135599999999995,4.47331,6.4135599999999995
90,10079,7.09545,5.71914,7.09545
91,1008,7.3644,5.49752,7.3644
92,10080,6.18941,4.23041,6.09495
93,10081,7.44843,5.68987,7.44843
94,10082,5.03735,3.3292699999999997,5.02921
95,10083,5.75051,2.34877,5.43245
96,10084,7.67807,4.964580000000001,7.669230000000001
97,10085,5.31352,3.5605900000000004,4.4496199999999995
98,10086,4.7163,4.14588,4.7163
99,10087,4.93921,3.5093400000000003,4.93921
100,10088,7.17324,6.29231,7.13183
101,10089,6.50082,4.3249699999999995,6.47164
102,1009,6.70517,4.9756,6.41018
103,10090,9.73402,7.973660000000001,9.72771
104,10091,10.11593,7.471010000000001,10.11593
105,10092,5.39458,4.3622,5.2867
106,10093,5.62435,3.21802,5.610130000000001
107,10094,5.68356,4.7685,5.68356
108,10095,5.53788,4.25774,5.35459
109,10096,7.2469600000000005,4.95228,7.1965
110,10097,5.64762,4.01239,5.64762
